Time,Edge,EdgeLength,JamLength,Density,MeanSpeed,MeanOccupancy,Status
21601.0,L30,99.68,0.0,0.0,0.0,0.0,0
21602.0,L30,99.68,0.0,0.0,0.0,0.0,0
21603.0,L30,99.68,0.0,0.0,0.0,0.0,0
21604.0,L30,99.68,0.0,0.0,0.0,0.0,0
21605.0,L30,99.68,0.0,0.0,0.0,0.0,0
21606.0,L30,99.68,0.0,0.0,0.0,0.0,0
21607.0,L30,99.68,0.0,0.0,0.0,0.0,0
21608.0,L30,99.68,0.0,0.0,0.0,0.0,0
21609.0,L30,99.68,0.0,0.0,0.0,0.0,0
21610.0,L30,99.68,0.0,0.0,0.0,0.0,0
21611.0,L30,99.68,0.0,0.0,0.0,0.0,0
21612.0,L30,99.68,0.0,0.0,0.0,0.0,0
21613.0,L30,99.68,0.0,0.0,0.0,0.0,0
21614.0,L30,99.68,0.0,0.0,0.0,0.0,0
21615.0,L30,99.68,0.0,0.0,0.0,0.0,0
21616.0,L30,99.68,0.0,0.0,0.0,0.0,0
21617.0,L30,99.68,0.0,0.0,0.0,0.0,0
21618.0,L30,99.68,0.0,0.0,0.0,0.0,0
21619.0,L30,99.68,0.0,0.0,0.0,0.0,0
21620.0,L30,99.68,0.0,0.0,0.0,0.0,0
21621.0,L30,99.68,0.0,0.0,0.0,0.0,0
21622.0,L30,99.68,0.0,0.0,0.0,0.0,0
21623.0,L30,99.68,0.0,0.0,0.0,0.0,0
21624.0,L30,99.68,0.0,0.0,0.0,0.0,0
21625.0,L30,99.68,0.0,0.0,0.0,0.0,0
21626.0,L30,99.68,0.0,0.0,0.0,0.0,0
21627.0,L30,99.68,0.0,0.0,0.0,0.0,0
21628.0,L30,99.68,0.0,0.0,0.0,0.0,0
21629.0,L30,99.68,0.0,0.0,0.0,0.0,0
21630.0,L30,99.68,0.0,0.0,0.0,0.0,0
21631.0,L30,99.68,0.0,0.0,0.0,0.0,0
21632.0,L30,99.68,0.0,0.0,0.0,0.0,0
21633.0,L30,99.68,0.0,0.0,0.0,0.0,0
