Time,Edge,EdgeLength,JamLength,Density,MeanSpeed,MeanOccupancy,Status
21706.0,L73,159.19,0.0,0.0,0.0,0.0,0
21707.0,L73,159.19,0.0,0.0,0.0,0.0,0
21708.0,L73,159.19,0.0,0.0,0.0,0.0,0
21709.0,L73,159.19,0.0,0.0,0.0,0.0,0
21710.0,L73,159.19,0.0,0.0,0.0,0.0,0
21711.0,L73,159.19,0.0,0.0,0.0,0.0,0
21712.0,L73,159.19,0.0,0.0,0.0,0.0,0
21713.0,L73,159.19,0.0,0.0,0.0,0.0,0
21714.0,L73,159.19,0.0,0.0,0.0,0.0,0
21715.0,L73,159.19,0.0,0.0,0.0,0.0,0
21716.0,L73,159.19,0.0,0.0,0.0,0.0,0
21717.0,L73,159.19,0.0,0.0,0.0,0.0,0
21718.0,L73,159.19,0.0,0.0,0.0,0.0,0
21719.0,L73,159.19,0.0,0.0,0.0,0.0,0
21720.0,L73,159.19,0.0,0.0,0.0,0.0,0
21721.0,L73,159.19,0.0,0.0,0.0,0.0,0
21722.0,L73,159.19,0.0,0.0,0.0,0.0,0
21723.0,L73,159.19,0.0,0.0,0.0,0.0,0
21724.0,L73,159.19,0.0,0.0,0.0,0.0,0
21725.0,L73,159.19,0.0,0.0,0.0,0.0,0
21726.0,L73,159.19,0.0,0.0,0.0,0.0,0
21727.0,L73,159.19,0.0,0.0,0.0,0.0,0
21728.0,L73,159.19,0.0,0.0,0.0,0.0,0
21729.0,L73,159.19,0.0,0.0,0.0,0.0,0
21730.0,L73,159.19,0.0,0.0,0.0,0.0,0
21731.0,L73,159.19,0.0,0.0,0.0,0.0,0
21732.0,L73,159.19,0.0,0.0,0.0,0.0,0
21733.0,L73,159.19,0.0,0.0,0.0,0.0,0
21734.0,L73,159.19,0.0,0.0,0.0,0.0,0
21735.0,L73,159.19,0.0,0.0,0.0,0.0,0
21736.0,L73,159.19,0.0,0.0,0.0,0.0,0
21737.0,L73,159.19,0.0,0.0,0.0,0.0,0
21738.0,L73,159.19,0.0,0.0,0.0,0.0,0
21739.0,L73,159.19,0.0,0.0,0.0,0.0,0
21740.0,L73,159.19,0.0,0.0,0.0,0.0,0
21741.0,L73,159.19,0.0,0.0,0.0,0.0,0
21742.0,L73,159.19,0.0,0.0,0.0,0.0,0
21743.0,L73,159.19,0.0,0.0,0.0,0.0,0
21744.0,L73,159.19,0.0,0.0,0.0,0.0,0
21745.0,L73,159.19,0.0,0.0,0.0,0.0,0
21746.0,L73,159.19,0.0,0.0,0.0,0.0,0
21747.0,L73,159.19,0.0,0.0,0.0,0.0,0
21748.0,L73,159.19,0.0,0.0,0.0,0.0,0
21749.0,L73,159.19,0.0,0.0,0.0,0.0,0
21750.0,L73,159.19,0.0,0.0,0.0,0.0,0
21751.0,L73,159.19,0.0,0.0,0.0,0.0,0
21752.0,L73,159.19,0.0,0.0,0.0,0.0,0
