Time,EdgeLength,JamLength,Density,MeanSpeed,MeanOccupancy,Status
21601.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21602.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21603.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21604.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21605.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21606.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21607.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21608.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21609.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21610.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21611.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21612.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21613.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21614.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21615.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21616.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21617.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21618.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21619.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21620.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21621.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21622.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21623.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21624.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21625.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21626.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21627.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21628.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21629.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21630.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21631.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21632.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21633.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21634.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21635.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21636.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21637.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
21638.0,1498.5900000000001,0.0,0.0,0.0,0.0,0
