4700.602929086564,5281.0876122968075,A00
4797.547535230549,5256.557154910377,A01
4893.953042939832,5229.986906825056,A02
4990.536882825652,5204.072395968971,A03
5087.055918717775,5177.917554916976,A04
5184.1211537384515,5153.868851201791,A05
5280.694732054561,5127.916125502509,A06
5377.322775138882,5102.166925715047,A07
5476.750573958863,5091.484565404074,A08
5576.706295741854,5088.509051525544,A09
5676.665490119524,5085.652574785369,A10
5776.625315327936,5082.818259294127,A11
5876.586188127398,5080.021134132516,A12
5975.941948196883,5091.353959950241,A13
6072.296850852567,5118.10714170893,B00
6168.353085776615,5145.913610960097,B01
6263.721332258974,5175.995126262357,B02
6360.08345122879,5202.722303959357,B03
6455.481686013028,5232.708580821473,B04
6551.324294277975,5261.242673429646,B05
6647.0088374011975,5290.302408585017,B06
6742.806908086217,5318.985672922047,B07
6839.254278327793,5345.403560299435,B08
6935.177720734621,5373.664720870506,B09
7023.6108112306565,5420.350784158388,B10
7115.182145089813,5460.533999749662,B11
7148.80521093511,5554.711966616455,C00
7103.823476885409,5644.02402404367,C01
7058.248318367498,5733.034725232163,C02
7014.594930385075,5823.0035071382,C03
6969.445460080489,5912.230887079647,C04
7050.888763823659,5970.256642356057,D00
7144.179448988545,6006.268419061271,D01
7238.203496333589,6040.319535355115,D02
7332.112120032955,6074.687694963839,D03
7426.939974512533,6106.431639501341,D04
7520.5107712398885,6141.70919610335,D05
7615.296082853142,6173.579946053396,D06
7708.803439852016,6209.0253151033185,D07
7802.578064632848,6243.757429165295,D08
7895.533379630226,6280.626242730939,D09
7935.87895808509,6372.126156933863,D10
